,,,Menores de 25,   Agricultura,   Industria,   Construcción,   Servicios,   No clasificable (1),Mayor de 25,   Agricultura,   Industria,   Construcción,   Servicios,   No clasificable (1)
,Julio,,,,,,,,,,,,,
,,hombre,,0.82,1.1,1.73,24.1,19.17,,17.41,36.11,62.96,348.23,86.88
,,mujer,,0.27,1.95,0.45,25.2,19.36,,7.04,9.94,2.51,361.86,79
,Agosto,,,,,,,,,,,,,
,,hombre,,0.82,1.1,1.73,24.1,19.17,,17.41,36.11,62.96,348.23,86.88
,,mujer,,0.27,1.95,0.45,25.2,19.36,,7.04,9.94,2.51,361.86,79
,Septiembre,,,,,,,,,,,,,
,,hombre,,0.82,1.1,1.73,24.1,19.17,,17.41,36.11,62.96,348.23,86.88
,,mujer,,0.27,1.95,0.45,25.2,19.36,,7.04,9.94,2.51,361.86,79
,Abril,,,,,,,,,,,,,
,,hombre,,0.85,1.07,1.94,24.02,20.76,,13.23,33.25,58.82,361.05,87.21
,,mujer,,0.64,0.5,0.3,25.96,14.49,,7.22,8.45,4.28,361.88,75.11
,Mayo,,,,,,,,,,,,,
,,hombre,,0.85,1.07,1.94,24.02,20.76,,13.23,33.25,58.82,361.05,87.21
,,mujer,,0.64,0.5,0.3,25.96,14.49,,7.22,8.45,4.28,361.88,75.11
,Junio,,,,,,,,,,,,,
,,hombre,,0.85,1.07,1.94,24.02,20.76,,13.23,33.25,58.82,361.05,87.21
,,mujer,,0.64,0.5,0.3,25.96,14.49,,7.22,8.45,4.28,361.88,75.11
,Enero,,,,,,,,,,,,,
,,hombre,,1.65,1.12,3.17,23.01,15.23,,17.29,35.76,60.39,352.82,85.98
,,mujer,,0.4,0.7,0.12,27.56,13.57,,7.03,7.7,3.78,369.17,76.69
,Febrero,,,,,,,,,,,,,
,,hombre,,1.65,1.12,3.17,23.01,15.23,,17.29,35.76,60.39,352.82,85.98
,,mujer,,0.4,0.7,0.12,27.56,13.57,,7.03,7.7,3.78,369.17,76.69
,Marzo,,,,,,,,,,,,,
,,hombre,,1.65,1.12,3.17,23.01,15.23,,17.29,35.76,60.39,352.82,85.98
,,mujer,,0.4,0.7,0.12,27.56,13.57,,7.03,7.7,3.78,369.17,76.69
,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,
,Octubre,,,,,,,,,,,,,
,,hombre,,1.42,1.02,2.97,26.87,14.67,,16.17,34.79,68.61,345.74,81.44
,,mujer,,0,0.19,0,26.64,13.11,,7.09,5.4,2.99,359.78,77.52
,Noviembre,,,,,,,,,,,,,
,,hombre,,1.42,1.02,2.97,26.87,14.67,,16.17,34.79,68.61,345.74,81.44
,,mujer,,0,0.19,0,26.64,13.11,,7.09,5.4,2.99,359.78,77.52
,Diciembre,,,,,,,,,,,,,
,,hombre,,1.42,1.02,2.97,26.87,14.67,,16.17,34.79,68.61,345.74,81.44
,,mujer,,0,0.19,0,26.64,13.11,,7.09,5.4,2.99,359.78,77.52
,Julio,,,,,,,,,,,,,
,,hombre,,1.6,1.55,4.95,28.05,15.92,,16.69,33.27,69.28,349.64,79.19
,,mujer,,0.79,0.18,0,26.41,17.56,,8.74,6.32,3.18,358.73,70.54
,Agosto,,,,,,,,,,,,,
,,hombre,,1.6,1.55,4.95,28.05,15.92,,16.69,33.27,69.28,349.64,79.19
,,mujer,,0.79,0.18,0,26.41,17.56,,8.74,6.32,3.18,358.73,70.54
,Septiembre,,,,,,,,,,,,,
,,hombre,,1.6,1.55,4.95,28.05,15.92,,16.69,33.27,69.28,349.64,79.19
,,mujer,,0.79,0.18,0,26.41,17.56,,8.74,6.32,3.18,358.73,70.54
,Abril,,,,,,,,,,,,,
,,hombre,,0.97,0.45,6.28,28.28,13.16,,13.57,36.28,67.03,342.78,84.49
,,mujer,,0.73,0.42,0,26.44,18.38,,7.68,10.69,3.37,358.42,74.46
,Mayo,,,,,,,,,,,,,
,,hombre,,0.97,0.45,6.28,28.28,13.16,,13.57,36.28,67.03,342.78,84.49
,,mujer,,0.73,0.42,0,26.44,18.38,,7.68,10.69,3.37,358.42,74.46
,Junio,,,,,,,,,,,,,
,,hombre,,0.97,0.45,6.28,28.28,13.16,,13.57,36.28,67.03,342.78,84.49
,,mujer,,0.73,0.42,0,26.44,18.38,,7.68,10.69,3.37,358.42,74.46
,Enero,,,,,,,,,,,,,
,,hombre,,1.87,0.93,6.24,23.96,13.16,,17.17,35.09,76.35,341.6,74.78
,,mujer,,1.04,0.39,0,26.68,13.95,,8.21,10.94,4.92,348.94,68.69
,Febrero,,,,,,,,,,,,,
,,hombre,,1.87,0.93,6.24,23.96,13.16,,17.17,35.09,76.35,341.6,74.78
,,mujer,,1.04,0.39,0,26.68,13.95,,8.21,10.94,4.92,348.94,68.69
,Marzo,,,,,,,,,,,,,
,,hombre,,1.87,0.93,6.24,23.96,13.16,,17.17,35.09,76.35,341.6,74.78
,,mujer,,1.04,0.39,0,26.68,13.95,,8.21,10.94,4.92,348.94,68.69
,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,
,Octubre,,,,,,,,,,,,,
,,hombre,,2.51,1.46,6.7,24.13,15.76,,16.17,34.94,80.81,330.93,75.7
,,mujer,,0.93,0.55,0.65,26.73,10.47,,9.65,9.92,6.38,343.26,66.83
,Noviembre,,,,,,,,,,,,,
,,hombre,,2.51,1.46,6.7,24.13,15.76,,16.17,34.94,80.81,330.93,75.7
,,mujer,,0.93,0.55,0.65,26.73,10.47,,9.65,9.92,6.38,343.26,66.83
,Diciembre,,,,,,,,,,,,,
,,hombre,,2.51,1.46,6.7,24.13,15.76,,16.17,34.94,80.81,330.93,75.7
,,mujer,,0.93,0.55,0.65,26.73,10.47,,9.65,9.92,6.38,343.26,66.83
,Julio,,,,,,,,,,,,,
,,hombre,,2.21,1.84,5.98,23.62,17.39,,21.6,38.12,82.98,324.26,73.5
,,mujer,,0.49,1.09,0.67,29.3,11.66,,10.28,9.75,6,338.32,60.68
,Agosto,,,,,,,,,,,,,
,,hombre,,2.21,1.84,5.98,23.62,17.39,,21.6,38.12,82.98,324.26,73.5
,,mujer,,0.49,1.09,0.67,29.3,11.66,,10.28,9.75,6,338.32,60.68
,Septiembre,,,,,,,,,,,,,
,,hombre,,2.21,1.84,5.98,23.62,17.39,,21.6,38.12,82.98,324.26,73.5
,,mujer,,0.49,1.09,0.67,29.3,11.66,,10.28,9.75,6,338.32,60.68
,Abril,,,,,,,,,,,,,
,,hombre,,2.39,1.62,5.19,22.91,19.39,,18.15,40.22,85.28,321.89,71.1
,,mujer,,0.63,0.2,0.83,25.86,12.55,,11.82,8.81,6.54,337.49,60.51
,Mayo,,,,,,,,,,,,,
,,hombre,,2.39,1.62,5.19,22.91,19.39,,18.15,40.22,85.28,321.89,71.1
,,mujer,,0.63,0.2,0.83,25.86,12.55,,11.82,8.81,6.54,337.49,60.51
,Junio,,,,,,,,,,,,,
,,hombre,,2.39,1.62,5.19,22.91,19.39,,18.15,40.22,85.28,321.89,71.1
,,mujer,,0.63,0.2,0.83,25.86,12.55,,11.82,8.81,6.54,337.49,60.51
,Enero,,,,,,,,,,,,,
,,hombre,,1.86,2.2,6.97,25.32,16.43,,15.7,38.88,88.77,335.45,59.39
,,mujer,,0.71,0.69,0.86,30.88,12.1,,10.45,10.83,6.48,340.82,57.49
,Febrero,,,,,,,,,,,,,
